munci_comm,non_org,is_org,pct_is_org,total_parcels,year,class_category,place
AUSTIN,699.0,178.0,0.20296465222348917,877.0,2015,condo,Chicago
AVALON PARK,0.0,8.0,1.0,8.0,2015,condo,Chicago
AVONDALE,1323.0,381.0,0.22359154929577466,1704.0,2015,condo,Chicago
BELMONT CRAGIN,501.0,115.0,0.18668831168831168,616.0,2015,condo,Chicago
BEVERLY,202.0,29.0,0.12554112554112554,231.0,2015,condo,Chicago
BRIDGEPORT,757.0,188.0,0.19894179894179895,945.0,2015,condo,Chicago
BRIGHTON PARK,22.0,27.0,0.5510204081632653,49.0,2015,condo,Chicago
CALUMET HEIGHTS,10.0,2.0,0.16666666666666666,12.0,2015,condo,Chicago
CHATHAM,272.0,97.0,0.26287262872628725,369.0,2015,condo,Chicago
CHICAGO LAWN,69.0,3.0,0.041666666666666664,72.0,2015,condo,Chicago
CITY OF BERWYN,653.0,98.0,0.13049267643142476,751.0,2015,condo,Suburban Cook
CITY OF BLUE ISLAND,329.0,46.0,0.12266666666666666,375.0,2015,condo,Suburban Cook
CITY OF BURBANK,363.0,24.0,0.06201550387596899,387.0,2015,condo,Suburban Cook
CITY OF CALUMET CITY,848.0,60.0,0.06607929515418502,908.0,2015,condo,Suburban Cook
CITY OF CHICAGO HEIGHTS,15.0,0.0,0.0,15.0,2015,condo,Suburban Cook
CITY OF CICERO,235.0,27.0,0.10305343511450382,262.0,2015,condo,Suburban Cook
CITY OF COUNTRY CLUB HILLS,749.0,35.0,0.044642857142857144,784.0,2015,condo,Suburban Cook
CITY OF COUNTRYSIDE,656.0,67.0,0.09266943291839558,723.0,2015,condo,Suburban Cook
CITY OF DES PLAINES,4840.0,278.0,0.05431809300508011,5118.0,2015,condo,Suburban Cook
CITY OF ELGIN,1322.0,60.0,0.04341534008683068,1382.0,2015,condo,Suburban Cook
CITY OF EVANSTON,8314.0,743.0,0.08203599425858452,9057.0,2015,condo,Suburban Cook
CITY OF HICKORY HILLS,888.0,119.0,0.11817279046673287,1007.0,2015,condo,Suburban Cook
CITY OF NORTH LAKE,537.0,40.0,0.06932409012131716,577.0,2015,condo,Suburban Cook
CITY OF OAK FOREST,1786.0,99.0,0.052519893899204244,1885.0,2015,condo,Suburban Cook
CITY OF PALOS HEIGHTS,1383.0,93.0,0.06300813008130081,1476.0,2015,condo,Suburban Cook
CITY OF PALOS HILLS,2843.0,404.0,0.12442254388666461,3247.0,2015,condo,Suburban Cook
CITY OF PARK RIDGE,2519.0,266.0,0.0955116696588869,2785.0,2015,condo,Suburban Cook
CITY OF PROSPECT HEIGHTS,2749.0,321.0,0.10456026058631922,3070.0,2015,condo,Suburban Cook
CITY OF ROLLING MEADOWS,2580.0,417.0,0.13913913913913914,2997.0,2015,condo,Suburban Cook
CLEARING,865.0,73.0,0.07782515991471216,938.0,2015,condo,Chicago
DOUGLAS,1631.0,721.0,0.30654761904761907,2352.0,2015,condo,Chicago
DUNNING,1635.0,288.0,0.1497659906396256,1923.0,2015,condo,Chicago
EAST GARFIELD PARK,468.0,204.0,0.30357142857142855,672.0,2015,condo,Chicago
EDGEWATER,11365.0,1432.0,0.11190122685004297,12797.0,2015,condo,Chicago
EDISON PARK,688.0,139.0,0.16807738814993953,827.0,2015,condo,Chicago
ENGLEWOOD,23.0,9.0,0.28125,32.0,2015,condo,Chicago
FOREST GLEN,166.0,26.0,0.13541666666666666,192.0,2015,condo,Chicago
FULLER PARK,6.0,2.0,0.25,8.0,2015,condo,Chicago
GAGE PARK,16.0,6.0,0.2727272727272727,22.0,2015,condo,Chicago
GARFIELD RIDGE,275.0,18.0,0.06143344709897611,293.0,2015,condo,Chicago
GRAND BOULEVARD,1825.0,795.0,0.30343511450381677,2620.0,2015,condo,Chicago
GREATER GRAND CROSSING,80.0,38.0,0.3220338983050847,118.0,2015,condo,Chicago
HEGEWISCH,16.0,1.0,0.058823529411764705,17.0,2015,condo,Chicago
HERMOSA,112.0,77.0,0.4074074074074074,189.0,2015,condo,Chicago
HUMBOLDT PARK,288.0,154.0,0.34841628959276016,442.0,2015,condo,Chicago
HYDE PARK,3595.0,428.0,0.10638826746209297,4023.0,2015,condo,Chicago
IRVING PARK,2810.0,577.0,0.17035724830233245,3387.0,2015,condo,Chicago
JEFFERSON PARK,943.0,72.0,0.07093596059113301,1015.0,2015,condo,Chicago
KENWOOD,2067.0,481.0,0.18877551020408162,2548.0,2015,condo,Chicago
LAKE VIEW,23011.0,2904.0,0.11205865328960062,25915.0,2015,condo,Chicago
LINCOLN PARK,15722.0,2267.0,0.1260214575573962,17989.0,2015,condo,Chicago
LINCOLN SQUARE,4313.0,490.0,0.10201957110139497,4803.0,2015,condo,Chicago
LOGAN SQUARE,4860.0,693.0,0.12479740680713128,5553.0,2015,condo,Chicago
LOOP,16789.0,2221.0,0.11683324566017886,19010.0,2015,condo,Chicago
LOWER WEST SIDE,376.0,94.0,0.2,470.0,2015,condo,Chicago
LYONS TWP,52.0,2.0,0.037037037037037035,54.0,2015,condo,Suburban Cook
MAINE TWP,4325.0,276.0,0.059986959356661596,4601.0,2015,condo,Suburban Cook
MCKINLEY PARK,76.0,10.0,0.11627906976744186,86.0,2015,condo,Chicago
MONTCLARE,316.0,61.0,0.16180371352785147,377.0,2015,condo,Chicago
MORGAN PARK,392.0,53.0,0.11910112359550562,445.0,2015,condo,Chicago
MOUNT GREENWOOD,228.0,20.0,0.08064516129032258,248.0,2015,condo,Chicago
NEAR NORTH SIDE,46334.0,7205.0,0.13457479594314425,53539.0,2015,condo,Chicago
NEAR SOUTH SIDE,16072.0,2813.0,0.14895419645221075,18885.0,2015,condo,Chicago
NEAR WEST SIDE,17726.0,2632.0,0.12928578445819824,20358.0,2015,condo,Chicago
NEW CITY,356.0,27.0,0.07049608355091384,383.0,2015,condo,Chicago
NORTH CENTER,3611.0,402.0,0.10017443309244954,4013.0,2015,condo,Chicago
NORTH LAWNDALE,171.0,92.0,0.34980988593155893,263.0,2015,condo,Chicago
NORTH PARK,877.0,117.0,0.11770623742454728,994.0,2015,condo,Chicago
NORTHFIELD TWP,2214.0,297.0,0.11827956989247312,2511.0,2015,condo,Suburban Cook
NORWOOD PARK,1190.0,121.0,0.09229595728451563,1311.0,2015,condo,Chicago
OAKLAND,454.0,131.0,0.22393162393162394,585.0,2015,condo,Chicago
OHARE,2497.0,249.0,0.09067734887108521,2746.0,2015,condo,Chicago
PALATINE TWP,520.0,88.0,0.14473684210526316,608.0,2015,condo,Suburban Cook
PALOS TWP,222.0,9.0,0.03896103896103896,231.0,2015,condo,Suburban Cook
PORTAGE PARK,1295.0,216.0,0.14295168762409,1511.0,2015,condo,Chicago
ROGERS PARK,7203.0,1167.0,0.13942652329749103,8370.0,2015,condo,Chicago
ROSELAND,7.0,4.0,0.36363636363636365,11.0,2015,condo,Chicago
SOUTH CHICAGO,149.0,49.0,0.2474747474747475,198.0,2015,condo,Chicago
SOUTH DEERING,8.0,0.0,0.0,8.0,2015,condo,Chicago
SOUTH LAWNDALE,28.0,12.0,0.3,40.0,2015,condo,Chicago
SOUTH SHORE,2517.0,787.0,0.2381961259079903,3304.0,2015,condo,Chicago
UPTOWN,12202.0,1265.0,0.09393331848221578,13467.0,2015,condo,Chicago
VILLAGE OF ALSIP,1340.0,93.0,0.06489881367759945,1433.0,2015,condo,Suburban Cook
VILLAGE OF ARLINGTON HEIGHTS,7221.0,950.0,0.11626483906498593,8171.0,2015,condo,Suburban Cook
VILLAGE OF BARRINGTON,214.0,44.0,0.17054263565891473,258.0,2015,condo,Suburban Cook
VILLAGE OF BARTLETT,1231.0,66.0,0.05088666152659985,1297.0,2015,condo,Suburban Cook
VILLAGE OF BELLWOOD,141.0,18.0,0.11320754716981132,159.0,2015,condo,Suburban Cook
VILLAGE OF BRIDGEVIEW,770.0,16.0,0.020356234096692113,786.0,2015,condo,Suburban Cook
VILLAGE OF BROADVIEW,83.0,0.0,0.0,83.0,2015,condo,Suburban Cook
VILLAGE OF BROOKFIELD,200.0,35.0,0.14893617021276595,235.0,2015,condo,Suburban Cook
VILLAGE OF BUFFALO GROVE,2694.0,125.0,0.044341965235899256,2819.0,2015,condo,Suburban Cook
VILLAGE OF BURNHAM,121.0,35.0,0.22435897435897437,156.0,2015,condo,Suburban Cook
VILLAGE OF BURR RIDGE,664.0,90.0,0.11936339522546419,754.0,2015,condo,Suburban Cook
VILLAGE OF CALUMET PARK,58.0,2.0,0.03333333333333333,60.0,2015,condo,Suburban Cook
VILLAGE OF CHICAGO RIDGE,1538.0,221.0,0.12563956793632747,1759.0,2015,condo,Suburban Cook
VILLAGE OF CRESTWOOD,2850.0,237.0,0.07677356656948493,3087.0,2015,condo,Suburban Cook
VILLAGE OF DOLTON,208.0,10.0,0.045871559633027525,218.0,2015,condo,Suburban Cook
VILLAGE OF ELK GROVE VILLAGE,3581.0,233.0,0.0610907184058731,3814.0,2015,condo,Suburban Cook
VILLAGE OF ELMWOOD PARK,1650.0,162.0,0.08940397350993377,1812.0,2015,condo,Suburban Cook
VILLAGE OF EVERGREEN PARK,102.0,9.0,0.08108108108108109,111.0,2015,condo,Suburban Cook
VILLAGE OF FLOSSMOOR,336.0,21.0,0.058823529411764705,357.0,2015,condo,Suburban Cook
VILLAGE OF FOREST PARK,2045.0,220.0,0.09713024282560706,2265.0,2015,condo,Suburban Cook
VILLAGE OF FRANKLIN PARK,298.0,41.0,0.12094395280235988,339.0,2015,condo,Suburban Cook
VILLAGE OF GLENCOE,161.0,6.0,0.03592814371257485,167.0,2015,condo,Suburban Cook
VILLAGE OF GLENVIEW,3059.0,128.0,0.04016316284907436,3187.0,2015,condo,Suburban Cook
VILLAGE OF GLENWOOD,662.0,61.0,0.08437067773167359,723.0,2015,condo,Suburban Cook
VILLAGE OF HANOVER PARK,413.0,99.0,0.193359375,512.0,2015,condo,Suburban Cook
VILLAGE OF HARWOOD HEIGHTS,446.0,61.0,0.1203155818540434,507.0,2015,condo,Suburban Cook
VILLAGE OF HAZELCREST,509.0,20.0,0.03780718336483932,529.0,2015,condo,Suburban Cook
VILLAGE OF HILLSIDE,288.0,164.0,0.36283185840707965,452.0,2015,condo,Suburban Cook
VILLAGE OF HOFFMAN ESTATES,2862.0,178.0,0.05855263157894737,3040.0,2015,condo,Suburban Cook
VILLAGE OF HOMEWOOD,1261.0,69.0,0.0518796992481203,1330.0,2015,condo,Suburban Cook
VILLAGE OF INDIAN HEAD PARK,914.0,64.0,0.065439672801636,978.0,2015,condo,Suburban Cook
VILLAGE OF INVERNESS,624.0,28.0,0.04294478527607362,652.0,2015,condo,Suburban Cook
VILLAGE OF JUSTICE,691.0,14.0,0.019858156028368795,705.0,2015,condo,Suburban Cook
VILLAGE OF KENILWORTH,14.0,1.0,0.06666666666666667,15.0,2015,condo,Suburban Cook
VILLAGE OF LA GRANGE,1071.0,70.0,0.06134969325153374,1141.0,2015,condo,Suburban Cook
VILLAGE OF LA GRANGE PARK,191.0,39.0,0.16956521739130434,230.0,2015,condo,Suburban Cook
VILLAGE OF LANSING,960.0,67.0,0.06523855890944498,1027.0,2015,condo,Suburban Cook
VILLAGE OF LEMONT,191.0,54.0,0.22040816326530613,245.0,2015,condo,Suburban Cook
VILLAGE OF LINCOLNWOOD,398.0,25.0,0.0591016548463357,423.0,2015,condo,Suburban Cook
VILLAGE OF LYNWOOD,351.0,24.0,0.064,375.0,2015,condo,Suburban Cook
VILLAGE OF LYONS,431.0,155.0,0.2645051194539249,586.0,2015,condo,Suburban Cook
VILLAGE OF MATTESON,579.0,33.0,0.05392156862745098,612.0,2015,condo,Suburban Cook
VILLAGE OF MAYWOOD,86.0,48.0,0.3582089552238806,134.0,2015,condo,Suburban Cook
VILLAGE OF MELROSE PARK,313.0,57.0,0.15405405405405406,370.0,2015,condo,Suburban Cook
VILLAGE OF MERRIONETTE PARK,93.0,9.0,0.08823529411764706,102.0,2015,condo,Suburban Cook
VILLAGE OF MIDLOTHIAN,418.0,51.0,0.10874200426439233,469.0,2015,condo,Suburban Cook
VILLAGE OF MORTON GROVE,1660.0,59.0,0.03432228039557882,1719.0,2015,condo,Suburban Cook
VILLAGE OF MT PROSPECT,3888.0,343.0,0.0810683053651619,4231.0,2015,condo,Suburban Cook
VILLAGE OF NILES,2203.0,114.0,0.04920155373327579,2317.0,2015,condo,Suburban Cook
VILLAGE OF NORRIDGE,537.0,69.0,0.11386138613861387,606.0,2015,condo,Suburban Cook
VILLAGE OF NORTH RIVERSIDE,56.0,12.0,0.17647058823529413,68.0,2015,condo,Suburban Cook
VILLAGE OF NORTHBROOK,2323.0,196.0,0.0778086542278682,2519.0,2015,condo,Suburban Cook
VILLAGE OF NORTHFIELD,462.0,32.0,0.06477732793522267,494.0,2015,condo,Suburban Cook
VILLAGE OF OAK LAWN,5773.0,518.0,0.08233985058019393,6291.0,2015,condo,Suburban Cook
VILLAGE OF OAK PARK,5260.0,382.0,0.06770648706132577,5642.0,2015,condo,Suburban Cook
VILLAGE OF OLYMPIA FIELDS,44.0,2.0,0.043478260869565216,46.0,2015,condo,Suburban Cook
VILLAGE OF ORLAND HILLS,136.0,16.0,0.10526315789473684,152.0,2015,condo,Suburban Cook
VILLAGE OF ORLAND PARK,5555.0,364.0,0.06149687447203919,5919.0,2015,condo,Suburban Cook
VILLAGE OF PALATINE,9320.0,624.0,0.06275140788415125,9944.0,2015,condo,Suburban Cook
VILLAGE OF PALOS PARK,190.0,13.0,0.06403940886699508,203.0,2015,condo,Suburban Cook
VILLAGE OF PARK FOREST,347.0,27.0,0.07219251336898395,374.0,2015,condo,Suburban Cook
VILLAGE OF POSEN,6.0,0.0,0.0,6.0,2015,condo,Suburban Cook
VILLAGE OF RICHTON PARK,232.0,11.0,0.04526748971193416,243.0,2015,condo,Suburban Cook
VILLAGE OF RIVER FOREST,1096.0,41.0,0.03605980650835532,1137.0,2015,condo,Suburban Cook
VILLAGE OF RIVER GROVE,581.0,46.0,0.0733652312599681,627.0,2015,condo,Suburban Cook
VILLAGE OF RIVERDALE,133.0,22.0,0.14193548387096774,155.0,2015,condo,Suburban Cook
VILLAGE OF RIVERSIDE,284.0,62.0,0.1791907514450867,346.0,2015,condo,Suburban Cook
VILLAGE OF ROSELLE,341.0,16.0,0.04481792717086835,357.0,2015,condo,Suburban Cook
VILLAGE OF ROSEMONT,228.0,16.0,0.06557377049180328,244.0,2015,condo,Suburban Cook
VILLAGE OF SCHAUMBURG,10644.0,531.0,0.047516778523489935,11175.0,2015,condo,Suburban Cook
VILLAGE OF SCHILLER PARK,865.0,146.0,0.1444114737883284,1011.0,2015,condo,Suburban Cook
VILLAGE OF SKOKIE,4695.0,934.0,0.16592645230058625,5629.0,2015,condo,Suburban Cook
VILLAGE OF SOUTH CHICAGO HEIGHTS,8.0,0.0,0.0,8.0,2015,condo,Suburban Cook
VILLAGE OF SOUTH HOLLAND,64.0,0.0,0.0,64.0,2015,condo,Suburban Cook
VILLAGE OF STICKNEY,135.0,29.0,0.17682926829268292,164.0,2015,condo,Suburban Cook
VILLAGE OF STREAMWOOD,1676.0,127.0,0.0704381586245147,1803.0,2015,condo,Suburban Cook
VILLAGE OF SUMMIT,36.0,0.0,0.0,36.0,2015,condo,Suburban Cook
VILLAGE OF TINLEY PARK,4792.0,303.0,0.059470068694798824,5095.0,2015,condo,Suburban Cook
VILLAGE OF WESTCHESTER,271.0,18.0,0.06228373702422145,289.0,2015,condo,Suburban Cook
VILLAGE OF WESTERN SPRINGS,242.0,7.0,0.028112449799196786,249.0,2015,condo,Suburban Cook
VILLAGE OF WHEELING,5559.0,528.0,0.08674223755544604,6087.0,2015,condo,Suburban Cook
VILLAGE OF WILLOW SPRINGS,463.0,94.0,0.1687612208258528,557.0,2015,condo,Suburban Cook
VILLAGE OF WILMETTE,1089.0,80.0,0.06843455945252352,1169.0,2015,condo,Suburban Cook
VILLAGE OF WINNETKA,360.0,36.0,0.09090909090909091,396.0,2015,condo,Suburban Cook
VILLAGE OF WORTH,841.0,170.0,0.1681503461918892,1011.0,2015,condo,Suburban Cook
WASHINGTON HEIGHTS,10.0,0.0,0.0,10.0,2015,condo,Chicago
WASHINGTON PARK,569.0,320.0,0.35995500562429694,889.0,2015,condo,Chicago
WEST ELSDON,190.0,50.0,0.20833333333333334,240.0,2015,condo,Chicago
WEST ENGLEWOOD,0.0,3.0,1.0,3.0,2015,condo,Chicago
WEST GARFIELD PARK,88.0,65.0,0.42483660130718953,153.0,2015,condo,Chicago
WEST LAWN,610.0,75.0,0.10948905109489052,685.0,2015,condo,Chicago
WEST PULLMAN,59.0,18.0,0.23376623376623376,77.0,2015,condo,Chicago
WEST RIDGE,6506.0,1065.0,0.1406683397173425,7571.0,2015,condo,Chicago
WEST TOWN,12341.0,1541.0,0.11100705950151275,13882.0,2015,condo,Chicago
WOODLAWN,1107.0,511.0,0.3158220024721879,1618.0,2015,condo,Chicago
ALBANY PARK,165.0,80.0,0.32653061224489793,245.0,2015,7+ unit properties,Chicago
ARCHER HEIGHTS,11.0,5.0,0.3125,16.0,2015,7+ unit properties,Chicago
ARMOUR SQUARE,14.0,10.0,0.4166666666666667,24.0,2015,7+ unit properties,Chicago
ASHBURN,33.0,10.0,0.23255813953488372,43.0,2015,7+ unit properties,Chicago
AUBURN GRESHAM,126.0,151.0,0.5451263537906137,277.0,2015,7+ unit properties,Chicago
AUSTIN,217.0,205.0,0.48578199052132703,422.0,2015,7+ unit properties,Chicago
AVALON PARK,13.0,16.0,0.5517241379310345,29.0,2015,7+ unit properties,Chicago
AVONDALE,71.0,51.0,0.4180327868852459,122.0,2015,7+ unit properties,Chicago
BELMONT CRAGIN,140.0,66.0,0.32038834951456313,206.0,2015,7+ unit properties,Chicago
BEVERLY,36.0,20.0,0.35714285714285715,56.0,2015,7+ unit properties,Chicago
BRIDGEPORT,33.0,22.0,0.4,55.0,2015,7+ unit properties,Chicago
BRIGHTON PARK,19.0,6.0,0.24,25.0,2015,7+ unit properties,Chicago
BURNSIDE,1.0,1.0,0.5,2.0,2015,7+ unit properties,Chicago
CALUMET HEIGHTS,15.0,7.0,0.3181818181818182,22.0,2015,7+ unit properties,Chicago
CHATHAM,183.0,170.0,0.48158640226628896,353.0,2015,7+ unit properties,Chicago
CHICAGO LAWN,126.0,130.0,0.5078125,256.0,2015,7+ unit properties,Chicago
CITY OF BERWYN,90.0,71.0,0.4409937888198758,161.0,2015,7+ unit properties,Suburban Cook
CITY OF BLUE ISLAND,52.0,37.0,0.4157303370786517,89.0,2015,7+ unit properties,Suburban Cook
CITY OF BURBANK,18.0,12.0,0.4,30.0,2015,7+ unit properties,Suburban Cook
CITY OF CALUMET CITY,57.0,27.0,0.32142857142857145,84.0,2015,7+ unit properties,Suburban Cook
CITY OF CHICAGO HEIGHTS,8.0,16.0,0.6666666666666666,24.0,2015,7+ unit properties,Suburban Cook
CITY OF CICERO,130.0,55.0,0.2972972972972973,185.0,2015,7+ unit properties,Suburban Cook
CITY OF COUNTRYSIDE,7.0,16.0,0.6956521739130435,23.0,2015,7+ unit properties,Suburban Cook
CITY OF DES PLAINES,62.0,48.0,0.43636363636363634,110.0,2015,7+ unit properties,Suburban Cook
CITY OF ELGIN,22.0,3.0,0.12,25.0,2015,7+ unit properties,Suburban Cook
CITY OF EVANSTON,113.0,238.0,0.6780626780626781,351.0,2015,7+ unit properties,Suburban Cook
CITY OF HARVEY,25.0,26.0,0.5098039215686274,51.0,2015,7+ unit properties,Suburban Cook
CITY OF HICKORY HILLS,46.0,15.0,0.2459016393442623,61.0,2015,7+ unit properties,Suburban Cook
CITY OF NORTH LAKE,14.0,11.0,0.44,25.0,2015,7+ unit properties,Suburban Cook
CITY OF OAK FOREST,15.0,20.0,0.5714285714285714,35.0,2015,7+ unit properties,Suburban Cook
CITY OF PALOS HILLS,6.0,4.0,0.4,10.0,2015,7+ unit properties,Suburban Cook
CITY OF PARK RIDGE,24.0,27.0,0.5294117647058824,51.0,2015,7+ unit properties,Suburban Cook
CITY OF PROSPECT HEIGHTS,2.0,6.0,0.75,8.0,2015,7+ unit properties,Suburban Cook
CITY OF ROLLING MEADOWS,4.0,18.0,0.8181818181818182,22.0,2015,7+ unit properties,Suburban Cook
CLEARING,62.0,25.0,0.28735632183908044,87.0,2015,7+ unit properties,Chicago
DOUGLAS,28.0,27.0,0.4909090909090909,55.0,2015,7+ unit properties,Chicago
DUNNING,47.0,6.0,0.11320754716981132,53.0,2015,7+ unit properties,Chicago
EAST GARFIELD PARK,83.0,26.0,0.23853211009174313,109.0,2015,7+ unit properties,Chicago
EAST SIDE,15.0,6.0,0.2857142857142857,21.0,2015,7+ unit properties,Chicago
EDGEWATER,171.0,167.0,0.4940828402366864,338.0,2015,7+ unit properties,Chicago
EDISON PARK,23.0,16.0,0.41025641025641024,39.0,2015,7+ unit properties,Chicago
ENGLEWOOD,53.0,100.0,0.6535947712418301,153.0,2015,7+ unit properties,Chicago
FOREST GLEN,11.0,7.0,0.3888888888888889,18.0,2015,7+ unit properties,Chicago
FULLER PARK,1.0,0.0,0.0,1.0,2015,7+ unit properties,Chicago
GAGE PARK,48.0,20.0,0.29411764705882354,68.0,2015,7+ unit properties,Chicago
GARFIELD RIDGE,25.0,13.0,0.34210526315789475,38.0,2015,7+ unit properties,Chicago
GRAND BOULEVARD,63.0,145.0,0.6971153846153846,208.0,2015,7+ unit properties,Chicago
GREATER GRAND CROSSING,145.0,109.0,0.42913385826771655,254.0,2015,7+ unit properties,Chicago
HEGEWISCH,2.0,4.0,0.6666666666666666,6.0,2015,7+ unit properties,Chicago
HERMOSA,47.0,32.0,0.4050632911392405,79.0,2015,7+ unit properties,Chicago
HUMBOLDT PARK,61.0,63.0,0.5080645161290323,124.0,2015,7+ unit properties,Chicago
HYDE PARK,44.0,126.0,0.7411764705882353,170.0,2015,7+ unit properties,Chicago
IRVING PARK,157.0,118.0,0.4290909090909091,275.0,2015,7+ unit properties,Chicago
JEFFERSON PARK,28.0,17.0,0.37777777777777777,45.0,2015,7+ unit properties,Chicago
KENWOOD,24.0,57.0,0.7037037037037037,81.0,2015,7+ unit properties,Chicago
LAKE VIEW,231.0,398.0,0.6327503974562798,629.0,2015,7+ unit properties,Chicago
LEYDEN TWP,7.0,22.0,0.7586206896551724,29.0,2015,7+ unit properties,Suburban Cook
LINCOLN PARK,106.0,203.0,0.656957928802589,309.0,2015,7+ unit properties,Chicago
LINCOLN SQUARE,187.0,182.0,0.4932249322493225,369.0,2015,7+ unit properties,Chicago
LOGAN SQUARE,147.0,167.0,0.5318471337579618,314.0,2015,7+ unit properties,Chicago
LOOP,29.0,23.0,0.4423076923076923,52.0,2015,7+ unit properties,Chicago
LOWER WEST SIDE,79.0,32.0,0.2882882882882883,111.0,2015,7+ unit properties,Chicago
LYONS TWP,12.0,0.0,0.0,12.0,2015,7+ unit properties,Suburban Cook
MAINE TWP,7.0,11.0,0.6111111111111112,18.0,2015,7+ unit properties,Suburban Cook
MCKINLEY PARK,14.0,7.0,0.3333333333333333,21.0,2015,7+ unit properties,Chicago
MONTCLARE,14.0,16.0,0.5333333333333333,30.0,2015,7+ unit properties,Chicago
MORGAN PARK,23.0,21.0,0.4772727272727273,44.0,2015,7+ unit properties,Chicago
MOUNT GREENWOOD,3.0,1.0,0.25,4.0,2015,7+ unit properties,Chicago
NEAR NORTH SIDE,85.0,148.0,0.6351931330472103,233.0,2015,7+ unit properties,Chicago
NEAR SOUTH SIDE,11.0,15.0,0.5769230769230769,26.0,2015,7+ unit properties,Chicago
NEAR WEST SIDE,64.0,181.0,0.7387755102040816,245.0,2015,7+ unit properties,Chicago
NEW CITY,18.0,15.0,0.45454545454545453,33.0,2015,7+ unit properties,Chicago
NORTH CENTER,56.0,60.0,0.5172413793103449,116.0,2015,7+ unit properties,Chicago
NORTH LAWNDALE,99.0,57.0,0.36538461538461536,156.0,2015,7+ unit properties,Chicago
NORTH PARK,48.0,24.0,0.3333333333333333,72.0,2015,7+ unit properties,Chicago
NORTHFIELD TWP,0.0,4.0,1.0,4.0,2015,7+ unit properties,Suburban Cook
NORWOOD PARK,40.0,25.0,0.38461538461538464,65.0,2015,7+ unit properties,Chicago
OAKLAND,11.0,40.0,0.7843137254901961,51.0,2015,7+ unit properties,Chicago
OHARE,26.0,9.0,0.2571428571428571,35.0,2015,7+ unit properties,Chicago
PORTAGE PARK,115.0,58.0,0.3352601156069364,173.0,2015,7+ unit properties,Chicago
PULLMAN,4.0,1.0,0.2,5.0,2015,7+ unit properties,Chicago
RIVERDALE,0.0,1.0,1.0,1.0,2015,7+ unit properties,Chicago
ROGERS PARK,220.0,249.0,0.5309168443496801,469.0,2015,7+ unit properties,Chicago
ROSELAND,33.0,60.0,0.6451612903225806,93.0,2015,7+ unit properties,Chicago
SOUTH CHICAGO,58.0,60.0,0.5084745762711864,118.0,2015,7+ unit properties,Chicago
SOUTH LAWNDALE,48.0,17.0,0.26153846153846155,65.0,2015,7+ unit properties,Chicago
SOUTH SHORE,168.0,331.0,0.6633266533066132,499.0,2015,7+ unit properties,Chicago
STICKNEY TWP,1.0,0.0,0.0,1.0,2015,7+ unit properties,Suburban Cook
UPTOWN,165.0,157.0,0.48757763975155277,322.0,2015,7+ unit properties,Chicago
VILLAGE OF ALSIP,59.0,21.0,0.2625,80.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF ARLINGTON HEIGHTS,46.0,29.0,0.38666666666666666,75.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BARRINGTON,13.0,0.0,0.0,13.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BARTLETT,0.0,1.0,1.0,1.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BELLWOOD,17.0,8.0,0.32,25.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BERKELEY,2.0,6.0,0.75,8.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BRIDGEVIEW,32.0,5.0,0.13513513513513514,37.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BROADVIEW,24.0,16.0,0.4,40.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BROOKFIELD,5.0,9.0,0.6428571428571429,14.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BUFFALO GROVE,1.0,1.0,0.5,2.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF BURNHAM,9.0,8.0,0.47058823529411764,17.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF CALUMET PARK,57.0,10.0,0.14925373134328357,67.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF CHICAGO RIDGE,60.0,32.0,0.34782608695652173,92.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF CRESTWOOD,5.0,7.0,0.5833333333333334,12.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF DOLTON,8.0,5.0,0.38461538461538464,13.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF ELK GROVE VILLAGE,4.0,3.0,0.42857142857142855,7.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF ELMWOOD PARK,31.0,15.0,0.32608695652173914,46.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF EVERGREEN PARK,22.0,16.0,0.42105263157894735,38.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF FLOSSMOOR,2.0,3.0,0.6,5.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF FORD HEIGHTS,1.0,0.0,0.0,1.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF FOREST PARK,63.0,45.0,0.4166666666666667,108.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF FRANKLIN PARK,53.0,14.0,0.208955223880597,67.0,2015,7+ unit properties,Suburban Cook
VILLAGE OF GLENCOE,2.0,4.0,0.6666666666666666,6.0,2015,7+ unit properties,Suburban Cook
