munci_comm,non_org,is_org,pct_is_org,total_parcels,year,class_category,place
HERMOSA,107.0,86.0,0.44559585492227977,193.0,2011,condo,Chicago
HUMBOLDT PARK,258.0,234.0,0.47560975609756095,492.0,2011,condo,Chicago
HYDE PARK,3564.0,427.0,0.10699072914056627,3991.0,2011,condo,Chicago
IRVING PARK,2636.0,768.0,0.2256169212690952,3404.0,2011,condo,Chicago
JEFFERSON PARK,939.0,92.0,0.0892337536372454,1031.0,2011,condo,Chicago
KENWOOD,1947.0,574.0,0.22768742562475208,2521.0,2011,condo,Chicago
LAKE VIEW,22125.0,3410.0,0.13354219698453104,25535.0,2011,condo,Chicago
LINCOLN PARK,15120.0,2098.0,0.12184922755256128,17218.0,2011,condo,Chicago
LINCOLN SQUARE,4067.0,739.0,0.15376612567623804,4806.0,2011,condo,Chicago
LOGAN SQUARE,4443.0,1022.0,0.18700823421774931,5465.0,2011,condo,Chicago
LOOP,16203.0,3139.0,0.16228931858132561,19342.0,2011,condo,Chicago
LOWER WEST SIDE,315.0,138.0,0.304635761589404,453.0,2011,condo,Chicago
LYONS TWP,53.0,1.0,0.018518518518518517,54.0,2011,condo,Suburban Cook
MAINE TWP,4412.0,231.0,0.04975231531337497,4643.0,2011,condo,Suburban Cook
MCKINLEY PARK,63.0,23.0,0.26744186046511625,86.0,2011,condo,Chicago
MONTCLARE,305.0,73.0,0.1931216931216931,378.0,2011,condo,Chicago
MORGAN PARK,388.0,48.0,0.11009174311926606,436.0,2011,condo,Chicago
MOUNT GREENWOOD,224.0,21.0,0.08571428571428572,245.0,2011,condo,Chicago
NEAR NORTH SIDE,45429.0,7851.0,0.1473536036036036,53280.0,2011,condo,Chicago
NEAR SOUTH SIDE,13787.0,4893.0,0.2619379014989293,18680.0,2011,condo,Chicago
NEAR WEST SIDE,16779.0,3299.0,0.16430919414284292,20078.0,2011,condo,Chicago
NEW CITY,361.0,30.0,0.07672634271099744,391.0,2011,condo,Chicago
NORTH CENTER,3329.0,618.0,0.1565746136306055,3947.0,2011,condo,Chicago
NORTH LAWNDALE,214.0,131.0,0.37971014492753624,345.0,2011,condo,Chicago
