,year,ami,ami_pct,ami_pct_value,ami_pct_monthly,ami_pct_aff_threshold,aff_units,pct_aff_units
36,1990,66686,1.7,113366.2,9447.183333333332,2834.1549999999997,566760.0,0.9775179158150725
37,1990,66686,1.8,120034.8,10002.9,3000.87,567300.0,0.9784492794867151
38,1990,66686,1.9,126703.4,10558.616666666667,3167.585,567300.0,0.9784492794867151
39,1990,66686,2.0,133372.0,11114.333333333334,3334.3,574185.0,0.9903241663001578
40,2000,72891,0.1,7289.1,607.4250000000001,182.22750000000002,10371.0,0.017576685089052833
41,2000,72891,0.2,14578.2,1214.8500000000001,364.45500000000004,39336.0,0.06666632770831957
42,2000,72891,0.3,21867.3,1822.2749999999999,546.6824999999999,58344.0,0.09888092901703774
43,2000,72891,0.4,29156.4,2429.7000000000003,728.9100000000001,94763.0,0.16060354923285253
44,2000,72891,0.5,36445.5,3037.125,911.1374999999999,160960.0,0.27279367774890984
45,2000,72891,0.6,43734.6,3644.5499999999997,1093.3649999999998,259565.0,0.4399086168296209
46,2000,72891,0.7,51023.7,4251.974999999999,1275.5924999999997,358293.0,0.6072320152938007
47,2000,72891,0.8,58312.8,4859.400000000001,1457.8200000000002,432507.0,0.7330092891535024
48,2000,72891,0.9,65601.90000000001,5466.825000000001,1640.0475000000001,485059.0,0.8220739844384223
49,2000,72891,1.0,72891.0,6074.25,1822.2749999999999,514094.0,0.8712822624791753
50,2000,72891,1.1,80180.1,6681.675,2004.5025,535927.0,0.9082846504407306
51,2000,72891,1.2,87469.2,7289.099999999999,2186.7299999999996,549001.0,0.9304423575908874
52,2000,72891,1.3,94758.3,7896.525000000001,2368.9575,559315.0,0.9479224395510157
53,2000,72891,1.4,102047.4,8503.949999999999,2551.1849999999995,565542.0,0.9584759076880838
54,2000,72891,1.5,109336.5,9111.375,2733.4125,569874.0,0.9658177454863459
55,2000,72891,1.6,116625.6,9718.800000000001,2915.6400000000003,574512.0,0.9736781895556764
56,2000,72891,1.7,123914.7,10326.225,3097.8675,577792.0,0.9792371064481741
